id,customer_id,order_date,status
1,681,2024-07-12,completed
2,410,2024-07-25,completed
3,705,2024-07-19,completed
4,513,2024-07-05,completed
5,88,2024-07-04,completed
6,100,2024-07-15,completed
7,118,2024-07-01,completed
8,759,2024-07-08,completed
9,238,2024-07-26,completed
10,756,2024-07-20,completed
11,211,2024-07-09,completed
12,469,2024-07-04,completed
13,357,2024-07-12,completed
14,630,2024-07-19,completed
15,383,2024-07-23,cancelled
16,191,2024-07-16,completed
17,171,2024-07-16,completed
18,368,2024-07-01,completed
19,507,2024-07-14,completed
20,579,2024-07-01,completed
21,173,2024-07-25,completed
22,376,2024-07-18,completed
23,436,2024-07-04,completed
24,461,2024-07-09,completed
25,603,2024-07-23,completed
26,61,2024-07-19,completed
27,300,2024-07-10,completed
28,672,2024-07-05,completed
29,780,2024-07-27,completed
30,385,2024-07-15,completed
31,466,2024-07-16,completed
32,470,2024-07-21,completed
33,440,2024-07-27,completed
34,134,2024-07-19,completed
35,17,2024-07-04,completed
36,208,2024-07-23,completed
37,85,2024-07-12,completed
38,717,2024-07-25,completed
39,80,2024-07-05,completed
40,124,2024-07-28,completed
41,105,2024-07-04,completed
42,147,2024-07-03,completed
43,219,2024-07-21,completed
44,127,2024-07-19,completed
45,284,2024-07-21,completed
46,708,2024-07-01,completed
47,194,2024-07-24,completed
48,507,2024-07-13,completed
49,13,2024-07-12,completed
50,560,2024-07-22,completed
51,15,2024-07-09,completed
52,551,2024-07-20,cancelled
53,160,2024-07-18,completed
54,68,2024-07-10,completed
55,624,2024-07-02,completed
56,356,2024-07-17,completed
57,121,2024-07-25,completed
58,730,2024-07-19,completed
59,581,2024-07-06,completed
60,119,2024-07-08,completed
61,484,2024-07-12,completed
62,732,2024-07-24,completed
63,278,2024-07-27,completed
64,229,2024-07-26,completed
65,290,2024-07-25,completed
66,299,2024-07-19,completed
67,751,2024-07-29,completed
68,711,2024-07-29,cancelled
69,745,2024-07-10,completed
70,146,2024-07-23,completed
71,718,2024-07-29,completed
72,134,2024-07-08,completed
73,240,2024-07-03,completed
74,169,2024-07-15,completed
75,463,2024-07-10,completed
76,221,2024-07-27,completed
77,526,2024-07-02,completed
78,464,2024-07-18,completed
79,125,2024-07-01,completed
80,87,2024-07-19,completed
81,95,2024-07-29,completed
82,742,2024-07-13,completed
83,192,2024-07-09,completed
84,564,2024-07-16,completed
85,539,2024-07-08,completed
86,497,2024-07-12,completed
87,612,2024-07-08,cancelled
88,239,2024-07-06,completed
89,755,2024-07-02,completed
90,756,2024-07-23,completed
91,578,2024-07-05,completed
92,317,2024-07-06,completed
93,490,2024-07-01,completed
94,332,2024-07-02,cancelled
95,539,2024-07-28,completed
96,104,2024-07-11,completed
97,655,2024-07-16,completed
98,366,2024-07-08,completed
99,719,2024-07-19,completed
100,145,2024-07-11,completed
101,91,2024-07-27,completed
102,215,2024-07-08,completed
103,396,2024-07-15,completed
104,777,2024-07-22,completed
105,327,2024-07-09,completed
106,77,2024-07-18,completed
107,161,2024-07-02,cancelled
108,748,2024-07-18,completed
109,563,2024-07-27,completed
110,678,2024-07-21,completed
111,84,2024-07-16,completed
112,272,2024-07-03,completed
113,457,2024-07-02,completed
114,155,2024-07-25,completed
115,775,2024-07-19,completed
116,549,2024-07-22,completed
117,405,2024-07-29,completed
118,694,2024-07-20,completed
119,207,2024-07-27,completed
120,407,2024-07-18,completed
121,718,2024-07-20,completed
122,103,2024-07-30,completed
123,671,2024-07-16,completed
124,624,2024-07-22,completed
125,51,2024-07-24,completed
126,311,2024-07-10,completed
127,234,2024-07-05,completed
128,453,2024-07-07,completed
129,58,2024-07-17,completed
130,537,2024-07-29,completed
131,256,2024-07-02,completed
132,127,2024-07-22,cancelled
133,486,2024-07-19,completed
134,706,2024-07-03,completed
135,220,2024-07-28,completed
136,21,2024-07-28,completed
137,259,2024-07-20,completed
138,386,2024-07-28,completed
139,639,2024-07-13,completed
140,575,2024-07-21,completed
141,284,2024-07-21,completed
142,306,2024-07-07,completed
143,698,2024-07-05,completed
144,398,2024-07-24,cancelled
145,488,2024-07-30,completed
146,572,2024-07-06,completed
147,782,2024-07-30,completed
148,229,2024-07-24,completed
149,302,2024-07-15,completed
150,636,2024-07-03,completed
151,306,2024-07-14,cancelled
152,147,2024-07-11,completed
153,182,2024-07-11,completed
154,591,2024-07-25,cancelled
155,489,2024-07-13,cancelled
156,330,2024-07-25,completed
157,232,2024-07-23,completed
158,172,2024-07-03,completed
159,537,2024-07-11,completed
160,368,2024-07-25,completed
161,127,2024-07-12,completed
162,50,2024-07-22,completed
163,719,2024-07-05,completed
164,679,2024-07-17,completed
165,524,2024-07-24,completed
166,205,2024-07-25,completed
167,165,2024-07-02,completed
168,114,2024-07-27,completed
169,741,2024-07-04,completed
170,476,2024-07-02,completed
171,437,2024-08-24,completed
172,449,2024-08-20,completed
173,395,2024-08-23,completed
174,164,2024-08-04,completed
175,626,2024-08-13,completed
176,134,2024-08-16,completed
177,671,2024-08-11,cancelled
178,347,2024-08-17,completed
179,395,2024-08-05,completed
180,161,2024-08-17,completed
181,52,2024-08-17,completed
182,455,2024-08-26,completed
183,510,2024-08-24,completed
184,94,2024-08-26,completed
185,671,2024-08-22,completed
186,466,2024-08-11,completed
187,464,2024-08-04,completed
188,299,2024-08-18,completed
189,110,2024-08-09,completed
190,196,2024-08-23,completed
191,469,2024-08-22,completed
192,567,2024-08-30,completed
193,182,2024-08-23,completed
194,394,2024-08-14,completed
195,137,2024-08-05,completed
196,567,2024-08-21,completed
197,689,2024-08-05,completed
198,331,2024-08-23,cancelled
199,728,2024-08-14,completed
200,391,2024-08-05,cancelled
201,294,2024-08-22,completed
202,105,2024-08-20,completed
203,713,2024-08-10,completed
204,702,2024-08-11,completed
205,800,2024-08-28,completed
206,618,2024-08-07,completed
207,286,2024-08-18,completed
208,727,2024-08-30,completed
209,641,2024-08-20,completed
210,725,2024-08-11,completed
211,340,2024-08-11,completed
212,575,2024-08-27,completed
213,658,2024-08-20,completed
214,117,2024-08-13,completed
215,499,2024-08-02,completed
216,172,2024-08-25,completed
217,219,2024-08-28,completed
218,74,2024-08-24,completed
219,56,2024-08-06,completed
220,418,2024-08-13,completed
221,548,2024-08-01,completed
222,75,2024-08-12,completed
223,289,2024-08-25,completed
224,547,2024-08-08,completed
225,650,2024-08-05,completed
226,127,2024-08-02,cancelled
227,216,2024-08-24,completed
228,632,2024-08-27,completed
229,770,2024-08-30,completed
230,69,2024-08-09,completed
231,635,2024-08-03,completed
232,711,2024-08-19,cancelled
233,5,2024-08-11,completed
234,369,2024-08-05,completed
235,313,2024-08-16,completed
236,144,2024-08-29,completed
237,20,2024-08-28,completed
238,218,2024-08-30,cancelled
239,794,2024-08-05,completed
240,138,2024-08-15,completed
241,629,2024-08-22,cancelled
242,580,2024-08-22,completed
243,225,2024-08-25,completed
244,531,2024-08-30,completed
245,665,2024-08-11,cancelled
246,670,2024-08-29,completed
247,416,2024-08-12,completed
248,514,2024-08-29,completed
249,154,2024-08-06,completed
250,339,2024-08-24,completed
251,421,2024-08-01,completed
252,41,2024-08-29,completed
253,416,2024-08-20,completed
254,291,2024-08-03,completed
255,421,2024-08-20,completed
256,271,2024-08-06,completed
257,388,2024-08-13,completed
258,430,2024-08-27,cancelled
259,545,2024-08-17,completed
260,2,2024-08-29,completed
261,45,2024-08-23,completed
262,359,2024-08-19,completed
263,86,2024-08-10,completed
264,8,2024-08-19,completed
265,324,2024-08-14,completed
266,549,2024-08-14,completed
267,566,2024-08-26,completed
268,315,2024-08-19,completed
269,717,2024-08-06,cancelled
270,714,2024-08-22,completed
271,149,2024-08-16,completed
272,624,2024-08-02,completed
273,450,2024-08-01,completed
274,614,2024-08-17,completed
275,671,2024-08-01,completed
276,405,2024-08-13,completed
277,563,2024-08-10,completed
278,284,2024-08-08,completed
279,180,2024-08-14,completed
280,526,2024-08-09,completed
281,776,2024-08-11,completed
282,494,2024-08-04,completed
283,236,2024-08-26,completed
284,568,2024-08-30,completed
285,765,2024-08-22,completed
286,272,2024-08-07,completed
287,680,2024-08-16,completed
288,589,2024-08-28,completed
289,228,2024-08-25,completed
290,34,2024-08-17,completed
291,9,2024-08-01,completed
292,266,2024-08-06,completed
293,189,2024-08-16,completed
294,287,2024-08-15,completed
295,739,2024-08-09,completed
296,757,2024-08-05,completed
297,646,2024-08-17,completed
298,582,2024-08-02,completed
299,645,2024-08-04,completed
300,264,2024-08-12,cancelled
301,591,2024-08-19,completed
302,523,2024-08-16,completed
303,647,2024-08-05,completed
304,586,2024-08-13,completed
305,669,2024-08-10,completed
306,372,2024-08-24,completed
307,171,2024-08-13,completed
308,790,2024-08-13,completed
309,642,2024-08-05,cancelled
310,554,2024-08-30,completed
