id,order_id,product_id,quantity,unit_price
1,1,37,1,1890.47
2,2,7,1,3460.02
3,2,33,1,1287.78
4,3,30,1,2465.79
5,4,7,2,3624.02
6,5,23,1,735.19
7,5,14,1,1387.07
8,6,5,1,4792.93
9,7,44,2,1145.99
10,8,22,2,1608.23
11,9,41,1,490.03
12,10,28,1,1259.11
13,11,5,1,5003.72
14,11,35,1,2797.57
15,12,34,1,1092.64
16,12,25,1,2072.93
17,13,53,1,1420.67
18,14,8,1,821.81
19,15,39,1,283.46
20,16,42,1,3399.06
21,17,54,1,766.23
22,18,25,1,2183.46
23,19,54,1,765.38
24,20,3,1,4105.34
25,21,50,1,3228.71
26,21,37,1,1655.12
27,22,47,1,5454.08
28,23,16,2,393.3
29,24,29,1,1680.02
30,24,52,1,4184.99
31,25,41,1,473.16
32,25,51,1,2473.09
33,26,35,2,2789.17
34,27,33,1,1333.32
35,27,7,1,3532.0
36,27,27,2,1010.55
37,28,10,1,546.81
38,29,37,1,1795.39
39,30,50,1,3028.78
40,30,18,1,2331.49
41,31,50,1,3403.61
42,32,5,1,5169.82
43,33,54,1,746.35
44,34,58,1,3145.55
45,34,7,1,3814.41
46,35,30,2,2184.83
47,36,20,2,2107.94
48,36,18,1,2122.06
49,37,4,1,3873.59
50,38,46,1,4054.07
51,39,29,1,1470.54
52,40,5,1,4738.67
53,41,9,1,826.73
54,41,56,2,458.88
55,42,42,1,3023.1
56,43,40,1,2671.67
57,43,6,1,4911.45
58,44,28,1,1244.47
59,45,39,1,310.4
60,46,20,1,2123.84
61,47,51,2,2748.54
62,48,39,1,280.37
63,49,56,1,511.69
64,50,50,1,3018.78
65,51,51,1,2549.34
66,51,46,1,4324.02
67,51,45,1,5676.84
68,52,6,1,4637.07
69,53,49,1,953.84
70,54,55,1,2151.28
71,54,60,1,224.62
72,55,48,1,640.19
73,55,9,1,868.02
74,56,17,1,693.38
75,56,50,1,3416.68
76,57,28,1,1236.09
77,58,33,1,1213.96
78,59,7,1,3968.74
79,60,55,1,2366.56
80,61,60,1,242.98
81,62,16,1,400.7
82,63,33,1,1273.74
83,64,26,1,2184.22
84,65,36,1,6276.89
85,66,16,1,403.68
86,66,32,1,2588.93
87,67,10,1,489.37
88,67,15,1,330.42
89,68,49,1,929.1
90,69,16,2,400.92
91,70,15,1,348.39
92,71,6,1,4686.54
93,71,41,1,502.0
94,71,37,1,1641.06
95,72,60,1,237.41
96,72,48,1,655.8
97,73,50,1,3273.15
98,74,35,1,2875.04
99,75,6,1,4385.19
100,75,53,1,1427.3
101,76,46,1,4155.86
102,77,12,1,5250.23
103,78,30,1,2221.68
104,79,15,1,309.67
105,79,24,2,2418.81
106,80,5,1,4581.09
107,80,58,1,3128.34
108,81,8,1,796.0
109,81,11,1,321.23
110,82,28,1,1216.54
111,83,3,1,4327.29
112,83,42,1,3087.34
113,84,9,1,831.46
114,85,51,1,2398.54
115,85,46,1,4229.62
116,86,25,1,1966.05
117,87,18,2,2109.96
118,87,34,1,997.2
119,88,18,1,2275.42
120,89,37,1,1853.35
121,89,23,2,807.79
122,89,12,1,5376.47
123,90,46,2,4456.72
124,91,52,1,4617.57
125,92,15,1,333.46
126,93,52,1,4113.56
127,94,59,1,323.75
128,95,46,1,4617.26
129,96,11,1,312.34
130,97,36,2,6507.1
131,98,25,1,1977.46
132,98,9,1,800.18
133,99,37,1,1632.97
134,99,59,1,358.92
135,99,41,2,483.28
